ecodistrict,year,model,scenario,tmin,prcp,ivpd,itmin,iphoto
145,2091,RCM4,RCP45,-8.52136986301371,23.79,364.351966153846,97.6571428571428,213.317777777778
145,2092,RCM4,RCP45,-8.02630136986302,24.99,364.411513846154,92.9571428571428,213.317777777778
145,2093,RCM4,RCP45,-8.02109589041096,19.02,364.64192,110.142857142857,213.317777777778
145,2094,RCM4,RCP45,-8.44465753424658,31.42,364.385190769231,107.271428571429,213.317777777778
145,2095,RCM4,RCP45,-7.58136986301371,17.92,364.700756923077,111.242857142857,213.317777777778
145,2096,RCM4,RCP45,-8.3758904109589,18.26,364.927378461538,104.328571428571,213.317777777778
145,2097,RCM4,RCP45,-8.54356164383562,22.61,364.740132307692,108.814285714286,213.317777777778
145,2098,RCM4,RCP45,-7.3717808219178,20.83,364.882476923077,120.728571428571,213.317777777778
145,2099,RCM4,RCP45,-7.48493150684931,18.42,364.65224,109.157142857143,213.317777777778
145,2100,RCM4,RCP45,-7.47506849315068,19.85,364.450858461538,104.257142857143,213.317777777778
145,2000,GCM4,RCP45,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,GCM4,RCP45,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,GCM4,RCP45,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,GCM4,RCP45,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,GCM4,RCP45,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,GCM4,RCP45,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,GCM4,RCP45,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,GCM4,RCP45,-12.5723287671233,11.49,364.077596923077,77.9428571428571,213.317777777778
145,2008,GCM4,RCP45,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,GCM4,RCP45,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,GCM4,RCP45,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,GCM4,RCP45,-8.20520547945205,17.3,364.738347692308,104.442857142857,213.317777777778
145,2091,GCM4,RCP45,-6.94493150684932,12.29,364.605544615385,107.514285714286,213.317777777778
145,2092,GCM4,RCP45,-7.87232876712328,20.28,364.924836923077,113.971428571429,213.317777777778
145,2093,GCM4,RCP45,-7.62739726027397,23.06,364.712436923077,104.742857142857,213.317777777778
145,2094,GCM4,RCP45,-6.8827397260274,28.5,364.959123076923,104.542857142857,213.317777777778
145,2095,GCM4,RCP45,-6.22,34.1,364.610107692308,109.957142857143,213.317777777778
145,2096,GCM4,RCP45,-6.09863013698631,27.29,364.956329230769,114.428571428571,213.317777777778
145,2097,GCM4,RCP45,-7.92082191780822,16.78,364.548846153846,118.485714285714,213.317777777778
145,2098,GCM4,RCP45,-6.16301369863013,21.4,364.802123076923,134.785714285714,213.317777777778
145,2099,GCM4,RCP45,-6.62986301369863,24.05,364.005033846154,116.742857142857,213.317777777778
145,2100,GCM4,RCP45,-6.04986301369863,16.05,364.863129230769,128.371428571429,213.317777777778
145,2000,Hadley,RCP45,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,Hadley,RCP45,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,Hadley,RCP45,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,Hadley,RCP45,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,Hadley,RCP45,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,Hadley,RCP45,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,Hadley,RCP45,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,Hadley,RCP45,-12.5723287671233,11.49,364.077596923077,77.9428571428571,213.317777777778
145,2008,Hadley,RCP45,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,Hadley,RCP45,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,Hadley,RCP45,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,Hadley,RCP45,-5.81287671232877,33.77,364.884212307692,110.357142857143,213.317777777778
145,2091,Hadley,RCP45,-5.61753424657534,27.18,364.748993846154,121.985714285714,213.317777777778
145,2092,Hadley,RCP45,-7.03506849315069,16.44,364.989227692308,109.142857142857,213.317777777778
145,2093,Hadley,RCP45,-5.13424657534246,29.96,364.829301538462,129.885714285714,213.317777777778
145,2094,Hadley,RCP45,-6.15013698630137,28.96,364.663369230769,101.142857142857,213.317777777778
145,2095,Hadley,RCP45,-5.29945205479452,22.95,364.838193846154,124.1,213.317777777778
145,2096,Hadley,RCP45,-6.36082191780822,35.25,364.748907692308,106.428571428571,213.317777777778
145,2097,Hadley,RCP45,-5.65780821917808,33.25,364.468310769231,124.642857142857,213.317777777778
145,2098,Hadley,RCP45,-5.92328767123288,17.39,364.779944615385,111.628571428572,213.317777777778
145,2099,Hadley,RCP45,-6.02794520547945,27.32,364.955701538462,113.714285714286,213.317777777778
145,2100,Hadley,RCP45,-5.43178082191781,15.38,364.898655384615,135.328571428571,213.317777777778
145,2000,RCM4,RCP85,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,RCM4,RCP85,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,RCM4,RCP85,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,RCM4,RCP85,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,RCM4,RCP85,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,RCM4,RCP85,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,RCM4,RCP85,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,RCM4,RCP85,-12.5723287671233,11.49,364.077596923077,77.9428571428571,213.317777777778
145,2008,RCM4,RCP85,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,RCM4,RCP85,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,RCM4,RCP85,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,RCM4,RCP85,-3.45698630136986,30.08,364.108267692308,130.328571428571,213.317777777778
145,2091,RCM4,RCP85,-3.61232876712329,23.75,364.875403076923,144.214285714286,213.317777777778
145,2092,RCM4,RCP85,-3.99506849315069,44.25,364.609381538462,136.571428571429,213.317777777778
145,2093,RCM4,RCP85,-3.7358904109589,32.32,364.628015384615,126.428571428571,213.317777777778
145,2094,RCM4,RCP85,-3.33452054794521,37.7,364.718907692308,144.214285714286,213.317777777778
145,2095,RCM4,RCP85,-2.73506849315068,27.47,364.471769230769,142.4,213.317777777778
145,2096,RCM4,RCP85,-3.47917808219178,20.44,364.716916923077,136.4,213.317777777778
145,2097,RCM4,RCP85,-2.76876712328767,22.13,363.839298461539,132.285714285714,213.317777777778
145,2098,RCM4,RCP85,-3.18904109589041,25,363.799076923077,139.785714285714,213.317777777778
145,2099,RCM4,RCP85,-4.40082191780822,23.53,364.711310769231,119.914285714286,213.317777777778
145,2100,RCM4,RCP85,-2.76246575342466,31.97,363.899815384615,128.371428571429,213.317777777778
145,2000,GCM4,RCP85,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,GCM4,RCP85,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,GCM4,RCP85,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,GCM4,RCP85,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,GCM4,RCP85,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,GCM4,RCP85,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,GCM4,RCP85,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,GCM4,RCP85,-12.5723287671233,11.87,364.077596923077,77.9428571428571,213.317777777778
145,2008,GCM4,RCP85,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,GCM4,RCP85,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,GCM4,RCP85,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,GCM4,RCP85,-2.45369863013699,18.85,363.570458461538,141.885714285714,213.317777777778
145,2091,GCM4,RCP85,-3.64739726027397,21.93,364.434843076923,138.014285714286,213.317777777778
145,2092,GCM4,RCP85,-2.6841095890411,22.31,363.933070769231,124.928571428571,213.317777777778
145,2093,GCM4,RCP85,-4.43342465753425,24.7,363.842790769231,124.142857142857,213.317777777778
145,2094,GCM4,RCP85,-3.03753424657534,19.03,364.104836923077,131.228571428571,213.317777777778
145,2095,GCM4,RCP85,-2.84109589041096,22.44,364.617584615385,144.428571428571,213.317777777778
145,2096,GCM4,RCP85,-3.23561643835616,32.81,364.248775384615,141,213.317777777778
145,2097,GCM4,RCP85,-3.99424657534247,28.5,363.826089230769,127.442857142857,213.317777777778
145,2098,GCM4,RCP85,-3.57068493150685,35.03,364.622304615385,137.542857142857,213.317777777778
145,2099,GCM4,RCP85,-2.9372602739726,30.79,362.963403076923,139.557142857143,213.317777777778
145,2100,GCM4,RCP85,-2.55260273972602,27.24,364.102627692308,145.385714285714,213.317777777778
145,2000,Hadley,RCP85,-13.5139726027397,22.11,364.731027692308,69.3142857142857,213.317777777778
145,2001,Hadley,RCP85,-11.9890410958904,18.5,364.585452307692,76.3857142857142,213.317777777778
145,2002,Hadley,RCP85,-12.8194520547945,13.59,364.8564,68.1857142857143,213.317777777778
145,2003,Hadley,RCP85,-12.4120547945206,18.91,364.663818461538,73.0428571428571,213.317777777778
145,2004,Hadley,RCP85,-15.1556164383562,16.94,364.694049230769,63.8857142857143,213.317777777778
145,2005,Hadley,RCP85,-12.312602739726,24.77,364.900938461538,69.0285714285714,213.317777777778
145,2006,Hadley,RCP85,-10.6254794520548,14.53,364.350003076923,94.3285714285715,213.317777777778
145,2007,Hadley,RCP85,-12.5723287671233,11.58,364.077596923077,77.9428571428571,213.317777777778
145,2008,Hadley,RCP85,-12.4997260273973,31.4,364.886089230769,78.7428571428571,213.317777777778
145,2009,Hadley,RCP85,-12.8465753424657,17.02,364.999393846154,72.5142857142857,213.317777777778
145,2010,Hadley,RCP85,-10.5465753424658,23.33,364.869141538462,93.3,213.317777777778
145,2090,Hadley,RCP85,-1.92493150684931,39.82,364.849055384615,148.557142857143,213.317777777778
145,2091,Hadley,RCP85,-1.48493150684931,52.9,364.100981538462,144.1,213.317777777778
145,2092,Hadley,RCP85,-1.2841095890411,20.5,364.494246153846,164.5,213.317777777778
145,2093,Hadley,RCP85,-1.40876712328767,52.66,364.691363076923,154.342857142857,213.317777777778
145,2094,Hadley,RCP85,-1.66465753424657,22.11,364.809609230769,163.157142857143,213.317777777778
145,2095,Hadley,RCP85,-0.578082191780822,29.88,364.519501538462,160.842857142857,213.317777777778
